accession	TF	annotationSource	description	#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species
ENCFF502VKJ	CG9876	directAnnotation	gene is directly annotated	ENCFF502VKJ	ENCFF502VKJ	ENCFF502VKJ	chip	2.0	CG9876	0	None	None	1	None	None
ENCFF317ATG	CG9876	directAnnotation	gene is directly annotated	ENCFF317ATG	ENCFF317ATG	ENCFF317ATG	chip	2.0	CG9876	0	None	None	1	None	None
ENCFF815FNH	CG9876	directAnnotation	gene is directly annotated	ENCFF815FNH	ENCFF815FNH	ENCFF815FNH	chip	2.0	CG9876	0	None	None	1	None	None
ENCFF660XWY	Atf-2	directAnnotation	gene is directly annotated	ENCFF660XWY	ENCFF660XWY	ENCFF660XWY	chip	2.0	Atf-2	0	None	None	1	None	None
ENCFF397TWE	Atf-2	directAnnotation	gene is directly annotated	ENCFF397TWE	ENCFF397TWE	ENCFF397TWE	chip	2.0	Atf-2	0	None	None	1	None	None
ENCFF558XAW	Atf-2	directAnnotation	gene is directly annotated	ENCFF558XAW	ENCFF558XAW	ENCFF558XAW	chip	2.0	Atf-2	0	None	None	1	None	None
ENCFF670QBM	CG10669	directAnnotation	gene is directly annotated	ENCFF670QBM	ENCFF670QBM	ENCFF670QBM	chip	2.0	CG10669	0	None	None	1	None	None
ENCFF967IUN	CG10669	directAnnotation	gene is directly annotated	ENCFF967IUN	ENCFF967IUN	ENCFF967IUN	chip	2.0	CG10669	0	None	None	1	None	None
ENCFF228XPW	CG10669	directAnnotation	gene is directly annotated	ENCFF228XPW	ENCFF228XPW	ENCFF228XPW	chip	2.0	CG10669	0	None	None	1	None	None
ENCFF129NTK	CG10669	directAnnotation	gene is directly annotated	ENCFF129NTK	ENCFF129NTK	ENCFF129NTK	chip	2.0	CG10669	0	None	None	1	None	None
